x,y
40.78944406,-73.95998555
40.78869365,-73.95780216
40.76889919,-73.97999751
40.77494198,-73.96735705
40.77376049,-73.97711432
40.79345253,-73.96279831
40.79508065,-73.95161667
40.76990733,-73.97144398
40.7898116,-73.95721149
40.79602788,-73.96079638
40.79881498,-73.95583577
40.78213782,-73.96199051
40.7845026,-73.96369327
40.79019376,-73.95904816
40.79519653,-73.95275376
40.77168632,-73.97899076
40.78282026,-73.96504452
40.77098284,-73.97164953
40.78013785,-73.96524152
40.76833686,-73.97355944
40.78184039,-73.96661079
40.76856983,-73.97880461
40.79249816,-73.95705686
40.7707392,-73.96986279
40.7745005,-73.97083758
40.78802463,-73.95865639
40.77136198,-73.97725765
40.79147751,-73.96270184
40.79078473,-73.95921414
40.79779407,-73.95676685
40.77924601,-73.96758471
40.77620648,-73.96765577
40.77449967,-73.96640977
40.79804801,-73.95297569
40.78120797,-73.96783561
40.7681541,-73.97520763
40.79321361,-73.96248181
40.78737071,-73.96017926
40.78001008,-73.97003343
40.76769568,-73.97207353
40.78976175,-73.96317086
40.77295781,-73.97168701
40.78152476,-73.97165425
40.76937561,-73.97539332
40.7794717,-73.97152713
40.77412633,-73.97635544
40.77056089,-73.97973016
40.76986757,-73.97615069
40.76614971,-73.97632527
40.77283485,-73.97053286
40.79381092,-73.96047643
40.78331298,-73.9661228
40.79370214,-73.95539456
40.79706212,-73.9517869
40.78329066,-73.96628861
40.78201336,-73.96371566
40.76700661,-73.97216451
40.77483788,-73.97039379
40.78977208,-73.96192123
40.78585038,-73.96756046
40.79307858,-73.96047371
40.77544037,-73.96789438
40.7703729,-73.96973658
40.77087153,-73.97851946
40.77630615,-73.96688272
40.7799954,-73.96599123
40.79878584,-73.95790622
40.78149093,-73.97166409
40.7930109,-73.96279552
40.77402895,-73.97276326
40.77967452,-73.96339561
40.79253144,-73.95296025
40.77784869,-73.96462844
40.78667932,-73.96726835
40.77915094,-73.97229093
40.77260359,-73.96987279
40.77503628,-73.97006191
40.79694199,-73.95577621
40.78889044,-73.95681531
40.79532254,-73.95994474
40.7687944,-73.98043582
40.78074072,-73.9619146
40.78436413,-73.96717086
40.79614785,-73.95939989
40.78780696,-73.96345278
40.79724515,-73.95569728
40.78001842,-73.97169522
40.76921424,-73.97396355
40.77350978,-73.96936965
40.78941202,-73.95540102
40.79177019,-73.95457765
40.7689253,-73.97088396
40.79352238,-73.95514782
40.76715623,-73.97792879
40.7700643,-73.97305989
40.78092115,-73.96330428
40.77349631,-73.9730034
40.78468648,-73.96168121
40.79376082,-73.95699424
40.79866749,-73.95888873
40.76930067,-73.97742261
40.7725437,-73.97821291
40.76890827,-73.97018556
40.79444916,-73.95753953
40.77547869,-73.97479828
40.77264161,-73.97562934
40.77245458,-73.97848714
40.79578642,-73.95719704
40.78101708,-73.96159113
40.76811978,-73.97617895
40.76902007,-73.97126183
40.7849596,-73.96256518
40.80000439,-73.95708001
40.78354449,-73.95936622
40.7958514,-73.96028928
40.7790873,-73.97269126
40.79074835,-73.95527681
40.7922625,-73.95446791
40.77149913,-73.97050428
40.79789235,-73.95266418
40.77910764,-73.97029934
40.79857218,-73.95911169
40.77468546,-73.96779623
40.7868087,-73.96581724
40.77508197,-73.97559786
40.79070005,-73.95640008
40.77860299,-73.96787965
40.78492202,-73.96579047
40.77364694,-73.97725497
40.77161624,-73.97496393
40.77850452,-73.96402939
40.79538928,-73.95590413
40.76760739,-73.97449714
40.79262155,-73.95857113
40.77281871,-73.9691382
40.79423369,-73.95171969
40.78471391,-73.96143537
40.7809442,-73.96333066
40.78877333,-73.95955756
40.78755387,-73.9579283
40.77733498,-73.97001467
40.78005042,-73.96468546
40.7942882,-73.95144263
40.78682264,-73.95872814
40.78418063,-73.96126197
40.79045084,-73.95646593
40.79617693,-73.95797223
40.78014832,-73.96757743
40.77075216,-73.97104789
40.77936804,-73.96908086
40.76787663,-73.97274121
40.78644046,-73.9679057
40.77328792,-73.9694989
40.77192623,-73.9725651
40.78712225,-73.96161283
40.78236974,-73.97012598
40.77008477,-73.97820678
40.78587568,-73.96276224
40.7964991,-73.94988765
40.7713994,-73.97821699
40.79908423,-73.95660335
40.79614146,-73.95621458
40.77605723,-73.97217469
40.79200684,-73.95677652
40.79606087,-73.95640262
40.7899324,-73.95956565
40.78361761,-73.96645086
40.78808462,-73.9626138
40.78214011,-73.96348798
40.784583,-73.96605907
40.76579093,-73.97578314
40.76933709,-73.97991481
40.7923847,-73.95785272
